series_key,initial_tolerance_mm,effective_tolerance_mm,pylidc_annotation_count,cluster_count
002e2ceb1f4d1e58801b1d75a0f048db26a03bafb6d4f7270f6bf53a7ed87bc7,2.5,2.5,11,3
017eb33c33caf4742adf92153102a4c5b8c0463face429c4f4a77bf7c380eefc,2.5,2.5,9,3
0199c394b7a33fb1be265d273ebc9c8fd6688e1db54686567ef6abc1b14e19b3,2.5,2.5,2,2
01d561292690b498d7fb133ae14687149c291b55861410a41b14204f059c9883,2.5,2.5,0,0
02016d62c5db33aa01d6ef0ab62fe3faa6be63b76b8cbc7dcf5a09879e01ee29,1.25,1.25,3,1
020e8f9b918a105913eb9b549a0e8b68ac7471c35d243df7277173c64c3087c4,1.25,1.25,10,7
02a025d554e53836950cf5a522e7fbfedfacee23014054313fe5c11c1ab2bdf7,1.25,1.25,4,1
031081d52ca7306323ba0872aefae436807d4ccc46d9c2779ecb344018739178,1.0,1.0,23,14
0330f07e444da389254833933a2dd6a0a52e0eff606f53cc0e1e85f3f419c2dc,1.25,1.25,5,2
033c8760774d87743d4d068168537534a5f838e6104858c79cb4cff29b9e5b6d,1.25,1.25,9,6
037ea94d6fb0227221c1bb4d6291b723bb178399547958dc22d2d931c0d7e641,2.5,2.5,4,1
0398bc4fb7182320462245509d9b1187bbde2cb40bb920eb978449d6200ee0c7,2.0,2.0,4,1
03b685fbe061615728497ffd0345cc3b7bf8f174c550f7711c8f8a61742f43ce,1.25,1.25,0,0
03fdaad957e08d805b95ebee91b95a5bb8e0d79cb8de694de9addc1e84cf2813,0.75,0.75,8,4
04629b540921264f2d2ff80b195c89bb92b4ce718f853dca41a7887c85417316,2.5,2.5,39,15
04731ea8a334e936b770ba2972ae167a891f2537d580e932420bcff294291e79,2.0,2.0,5,2
0478685619232f133643a01fefb413a4477c70129067af3f010f36b3318eed73,1.25,1.25,13,4
049738ae6b10de92b7207fe355ed92001a863a12f689e6cd6679911792b5fcb6,3.0,3.0,25,7
0533f1953981acdcbcde64e86def34c2db4e16842effea9e6cc741fd895b4fe6,3.0,3.0,0,0
056b07fc8ef299b59e835a60ceb3d82b1a8a94aa6542f25c260c8d9a6a7e6801,2.5,2.5,8,2
057a08126fa6cea8900ecaf455d6aa65244c7f9d1644706ac4ae2981dc4133ec,2.0,2.0,0,0
0584ec31053b87de72058ea7d6c39d80065487253a4b93faa67dd4b559c52b98,1.0,1.0,6,2
05a51c04892a0dcbf04a03d1b1a9dc69214c5a332493b0cc66fb50c2abbaa29d,2.0,2.0,6,2
05a988c6d511e522673081cd226164c334357de57af0703609fdf582c2eb797a,1.25,1.25,2,1
06097d88ce364b2df493c63259d2980d8b0b738e134f4385e68525b891f61392,3.0,3.0,17,5
071b3d30cbc570b4e4cda2bf1e7fcf6df24b922ce05a3a4908b29a07e9537fb0,3.0,3.0,8,3
0738e20097845562d7c87bf1978bda5183378140f7739e9a1271d9a2d9055b40,2.0,2.0,13,6
077831a6b5bf987ca4ae74633747d5fa89f15417f3301c94df9b29e17ab25cae,2.5,2.5,0,0
077dce28c02d3898f268eb5c89b7dcea2360a4335dfa7bcb76dd07239d826fc5,1.0,1.0,11,4
07e11b47eda992247fdd92700dbca5b357431a51b00c9132f189fc13d75c83c5,2.0,2.0,12,6
083c639702c65d0500a52e7074c5f6f335edd9a3d131f859d6d9c63e2f3e2be4,1.5,1.5,12,3
087795a96d2529cddc109a5e638ee3feac5b41dfc145403798b391fedd72aec1,1.25,1.25,0,0
0879e6d9d4672560959fc60ca3cea8a9e97e72a5b3bec8137aa49a647ac6d224,1.25,1.25,5,2
08de7fd133f99c98600793f9dd334d7c5b091eed15ca570f158ecb69761b595e,2.5,2.5,2,2
08e274ed31740dc28ebb02f785e20fb4c84bc4dbd5960ad01951f2bc2a7cadc8,1.25,1.25,15,6
093451065de284552b939360e03a7eb65265f59d891846a500b628f1df7e1b8a,1.25,1.25,3,1
09ee7e32350523ef7f471ee00712c49673352df76cc412317ea215316294478f,2.5,2.5,1,1
0a00e239cf964cc9791ab18b9034d930a563c5e809e537bf8c563f353bb0f1c9,1.25,1.25,0,0
0a3309c6120b87ecb65fcb29d577348e01f99125d868d58466a978e275abf2cd,2.5,2.5,4,1
0a6be754c7ea0ab693685cc8610764e117419e5cf5d66acb61a7d0767c613271,2.5,2.5,3,1
0a72ac1f5368fcfb5a65c8436ce9d2ce0bc99b63e719292f7ec681938689471d,1.0,1.0,10,4
0a7f396af1f1976aa3eab224d8e7b6388b2ec5328fa27ed6c19821bd47746fa4,1.25,1.25,0,0
0afdfd089b89757f95c97b76a7f3d603f22feee941e6ea142f8eb9e066734be9,1.25,1.25,0,0
0b3b846a0c5cb7e17845de7156cbc45e49270e98e75ee08d83e1f906f61b7a05,0.9,0.9,12,4
0beeeee6c287fb0a437bf6ef44b2cb97fd6e379e9d019dc53dd1d1a41b23050e,2.5,2.5,0,0
0c0a48dbf8916dd54d30133d5f54f3b86cabd8439a9694a950dfb3c41723118e,1.25,1.25,0,0
0c424257ebf683e22076b48582679cb489bc38f9db05a492dc5811192892f6bd,2.5,2.5,9,4
0c542f659692973ead5f721059975492c6993d0e5b2faa1524f538bab8463e81,1.25,1.25,4,3
0c767b0c8c8f40f08354f1124ae8ced845bc6bc8a1280a4eb5bf960995f5d240,3.0,3.0,7,2
0c984c760fd7c714a86277173170f67987b67be07ee9358a4a59373718ff0148,3.0,3.0,6,2
0cdfe14daf777d63a414da6dec83245f25a5e4cdb6bb051f1b152638abd236d7,2.5,2.5,7,3
0ceab3ee1a1033285b63c9a7d32156b1d9e31fdd36880b996cf394ef440e1bf5,1.0,1.0,3,1
0d272208118eb1acb3f351601f0815558860e5a7b63aa894fa4e7dd5a8df630c,2.5,2.5,6,3
