metric,quantile,value
pre_resize_mask_voxels,p00,5.0
pre_resize_mask_voxels,p25,74.0
pre_resize_mask_voxels,p50,147.0
pre_resize_mask_voxels,p75,411.0
pre_resize_mask_voxels,p100,45329.0
post_resize_mask_voxels,p00,3268.0
post_resize_mask_voxels,p25,24068.0
post_resize_mask_voxels,p50,35949.0
post_resize_mask_voxels,p75,53116.0
post_resize_mask_voxels,p100,173881.0
cube_edge_voxels,p00,3.0
cube_edge_voxels,p25,8.0
cube_edge_voxels,p50,10.0
cube_edge_voxels,p75,15.0
cube_edge_voxels,p100,82.0
padding_ratio,p00,0.0
padding_ratio,p25,0.52
padding_ratio,p50,0.6875
padding_ratio,p75,0.79
padding_ratio,p100,0.9667590027700831
bbox_axis_0_voxels,p00,1.0
bbox_axis_0_voxels,p25,3.0
bbox_axis_0_voxels,p50,4.0
bbox_axis_0_voxels,p75,6.0
bbox_axis_0_voxels,p100,45.0
bbox_axis_1_voxels,p00,3.0
bbox_axis_1_voxels,p25,7.0
bbox_axis_1_voxels,p50,9.0
bbox_axis_1_voxels,p75,14.0
bbox_axis_1_voxels,p100,65.0
bbox_axis_2_voxels,p00,2.0
bbox_axis_2_voxels,p25,7.0
bbox_axis_2_voxels,p50,9.0
bbox_axis_2_voxels,p75,14.0
bbox_axis_2_voxels,p100,82.0
reader_count,1,769.0
reader_count,2,488.0
reader_count,3,481.0
reader_count,4,895.0
