catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P9-GAM-ALPHA-FOLD0-SUBTLETY,CAT-K,learned_alpha,P9,learned_softmax_gam,0,subtlety,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[0].groups.subtlety,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.20624220371246338,0.19509869813919067,0.19836270809173584,0.20248264074325562,0.19781377911567688],""gradient_l1_at_best_epoch"":0.6432611290074419,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[0.03526713699102402,-0.02027852274477482,-0.00368689838796854,0.016870124265551567,-0.00645794440060854],""maximum_weight"":0.20624220371246338,""minimum_weight"":0.19509869813919067,""simplex_sum"":1.0000000298023224,""simplex_verified"":true}"
RES-P9-GAM-ALPHA-FOLD0-INTERNALSTRUCTURE,CAT-K,learned_alpha,P9,learned_softmax_gam,0,internalStructure,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[0].groups.internalStructure,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.20028536021709442,0.20024915039539337,0.19957375526428223,0.20029154419898987,0.1996001899242401],""gradient_l1_at_best_epoch"":1.4143523037037085,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[0.0017588514601811767,0.0015780975809320807,-0.0018003677250817418,0.0017897720681503415,-0.0016679271357133985],""maximum_weight"":0.20029154419898987,""minimum_weight"":0.19957375526428223,""simplex_sum"":1.0,""simplex_verified"":true}"
RES-P9-GAM-ALPHA-FOLD0-CALCIFICATION,CAT-K,learned_alpha,P9,learned_softmax_gam,0,calcification,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[0].groups.calcification,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.19994868338108063,0.20014888048171997,0.20437681674957275,0.19641749560832977,0.19910813868045807],""gradient_l1_at_best_epoch"":1.6644679416203871,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[-0.0058002895675599575,-0.004799544811248779,0.016104357317090034,-0.02361862175166607,-0.010013028047978878],""maximum_weight"":0.20437681674957275,""minimum_weight"":0.19641749560832977,""simplex_sum"":1.0000000149011612,""simplex_verified"":true}"
RES-P9-GAM-ALPHA-FOLD0-SPHERICITY,CAT-K,learned_alpha,P9,learned_softmax_gam,0,sphericity,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[0].groups.sphericity,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.19857755303382874,0.19967316091060638,0.2002394050359726,0.20173019170761108,0.19977961480617523],""gradient_l1_at_best_epoch"":1.797997406392824,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[-0.007313585840165615,-0.00181149214040488,0.001020411611534655,0.008437846787273884,-0.0012784407008439302],""maximum_weight"":0.20173019170761108,""minimum_weight"":0.19857755303382874,""simplex_sum"":0.999999925494194,""simplex_verified"":true}"
RES-P9-GAM-ALPHA-FOLD0-MARGIN,CAT-K,learned_alpha,P9,learned_softmax_gam,0,margin,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[0].groups.margin,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.19845840334892273,0.19751843810081482,0.20255036652088165,0.20185568928718567,0.1996171623468399],""gradient_l1_at_best_epoch"":0.673660564556485,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[-0.006644766312092543,-0.011392340995371342,0.013764278963208199,0.01032871101051569,-0.000822940026409924],""maximum_weight"":0.20255036652088165,""minimum_weight"":0.19751843810081482,""simplex_sum"":1.0000000596046448,""simplex_verified"":true}"
RES-P9-GAM-ALPHA-FOLD0-LOBULATION,CAT-K,learned_alpha,P9,learned_softmax_gam,0,lobulation,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[0].groups.lobulation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.2014921009540558,0.20348674058914185,0.19776764512062073,0.19993579387664795,0.19731773436069489],""gradient_l1_at_best_epoch"":1.1727934019290842,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[0.00038736456190235913,0.01023806445300579,-0.01826983131468296,-0.007366464007645845,-0.020547494292259216],""maximum_weight"":0.20348674058914185,""minimum_weight"":0.19731773436069489,""simplex_sum"":1.0000000149011612,""simplex_verified"":true}"
RES-P9-GAM-ALPHA-FOLD0-SPICULATION,CAT-K,learned_alpha,P9,learned_softmax_gam,0,spiculation,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[0].groups.spiculation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.1936781108379364,0.19976677000522614,0.2002529501914978,0.19978858530521393,0.20651358366012573],""gradient_l1_at_best_epoch"":1.778232471930096,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[-0.029621373862028122,0.0013316565891727805,0.0037623520474880934,0.0014407665003091097,0.03454723209142685],""maximum_weight"":0.20651358366012573,""minimum_weight"":0.1936781108379364,""simplex_sum"":1.0,""simplex_verified"":true}"
RES-P9-GAM-ALPHA-FOLD0-TEXTURE,CAT-K,learned_alpha,P9,learned_softmax_gam,0,texture,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[0].groups.texture,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.20069357752799988,0.1999417096376419,0.19913674890995026,0.2002207189798355,0.20000730454921722],""gradient_l1_at_best_epoch"":2.137081444321666,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[0.0030973029788583517,-0.0006560879410244524,-0.004690159577876329,0.0007383047486655414,-0.0003281111712567508],""maximum_weight"":0.20069357752799988,""minimum_weight"":0.19913674890995026,""simplex_sum"":1.0000000596046448,""simplex_verified"":true}"
RES-P9-GAM-ALPHA-FOLD1-SUBTLETY,CAT-K,learned_alpha,P9,learned_softmax_gam,1,subtlety,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[1].groups.subtlety,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.20342759788036346,0.19984868168830872,0.19589249789714813,0.20061251521110535,0.20021872222423553],""gradient_l1_at_best_epoch"":0.8519541561836377,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[0.010812376625835896,-0.006937297061085701,-0.02693181484937668,-0.003122476628050208,-0.005087459459900856],""maximum_weight"":0.20342759788036346,""minimum_weight"":0.19589249789714813,""simplex_sum"":1.0000000149011612,""simplex_verified"":true}"
RES-P9-GAM-ALPHA-FOLD1-INTERNALSTRUCTURE,CAT-K,learned_alpha,P9,learned_softmax_gam,1,internalStructure,Fold-level learned expert mixture weights,Did the local-expert mixture depart from uniform initialization?,PASS,RESULT_ALREADY_EXISTS,USED_MAIN_TEXT,ART-P9-LEARNED-ALPHA,repo://,artifacts/baseline_v2/audit/p9/learned_alpha.json,folds[1].groups.internalStructure,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d,5,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHY,"[""RPT-T16""]","[""RPT-F11""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""final_weights"":[0.20120948553085327,0.19920629262924194,0.1992158144712448,0.19920212030410767,0.20116625726222992],""gradient_l1_at_best_epoch"":1.91838141460903,""initial_weights"":[0.2,0.2,0.2,0.2,0.2],""logits"":[0.0050760963931679726,-0.00492960074916482,-0.004881840664893389,-0.0049504670314490795,0.004861229564994574],""maximum_weight"":0.20120948553085327,""minimum_weight"":0.19920212030410767,""simplex_sum"":0.9999999701976776,""simplex_verified"":true}"
