catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P10-FIGURE-RPT-F01,CAT-P,planned_scientific_figure,P10,,,,End-to-end evidence pipeline,Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F01,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-INTRODUCTION,[],"[""RPT-F01""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""A"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F01"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
RES-P10-FIGURE-RPT-F02,CAT-P,planned_scientific_figure,P10,,,,"Cohort, preprocessing, and five-fold flow",Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F02,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-DATASET,[],"[""RPT-F02""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""A"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F02"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
RES-P10-FIGURE-RPT-F03,CAT-P,planned_scientific_figure,P10,,,,Four architectures and interpretability interfaces,Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F03,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-METHODS,[],"[""RPT-F03""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""A"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F03"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
RES-P10-FIGURE-RPT-F04,CAT-P,planned_scientific_figure,P10,,,,Four-model MAE bootstrap intervals,Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F04,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,[],"[""RPT-F04""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""C"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F04"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
RES-P10-FIGURE-RPT-F05,CAT-P,planned_scientific_figure,P10,,,,Paired Delta-MAE forest plot,Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F05,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,[],"[""RPT-F05""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""D"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F05"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
RES-P10-FIGURE-RPT-F06,CAT-P,planned_scientific_figure,P10,,,,Extreme AUROC/AUPRC and paired Delta-AUROC,Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F06,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-PREDICTION,[],"[""RPT-F06""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""E,F"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F06"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
RES-P10-FIGURE-RPT-F07,CAT-P,planned_scientific_figure,P10,,,,Undefined Grad-CAM rate heatmap,Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F07,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,[],"[""RPT-F07""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""L,M"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F07"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
RES-P10-FIGURE-RPT-F08,CAT-P,planned_scientific_figure,P10,,,,Spatial faithfulness dual panel,Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F08,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHERE,[],"[""RPT-F08""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""N"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F08"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
RES-P10-FIGURE-RPT-F09A,CAT-P,planned_scientific_figure,P10,,,,Continuous concept fidelity,Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F09A,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,[],"[""RPT-F09A""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""G"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F09A"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
RES-P10-FIGURE-RPT-F09B,CAT-P,planned_scientific_figure,P10,,,,Categorical concept fidelity,Which frozen evidence supports this planned report figure?,PASS,VISUALIZATION_NOT_YET_RENDERED_BUT_FROZEN_DATA_EXISTS,USED_MAIN_TEXT,ART-P10-REPORT-PLAN,repo://,docs/results/P10_CATALOGUE_DRIVEN_BILINGUAL_REPORT_PLAN.md,RPT-F09B,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c,,PUBLIC_DEIDENTIFIED,False,SEC-RESULTS-WHAT,[],"[""RPT-F09B""]",,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""case_level_intervention_component"":""NOT_APPLICABLE"",""component_availability"":null,""evidence_categories"":""H"",""missing_component_policy"":null,""new_inference_required"":false,""planned_figure_id"":""RPT-F09B"",""quantitative_summary_requires_ct"":false,""render_status"":""NOT_RENDERED_AT_CATALOGUE_GATE"",""selected_case_label"":null}"
