catalogue_item_id,category,entity_type,phase,model,fold,concept_or_target,result_name,scientific_question,scientific_status,availability_status,report_usage_status,source_artifact_id,source_root_alias,source_relative_path,source_field_path,source_sha256,row_or_sample_count,privacy_class,new_inference_required,report_section_id,report_table_ids,report_figure_ids,omission_reason,approval_reference,integrity_status,details
RES-P0-PHASE-OVERVIEW,CAT-A,phase_overview,P0,,,,Environment and deterministic regression smoke,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P0,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Environment and deterministic regression smoke""}"
RES-P1-PHASE-OVERVIEW,CAT-A,phase_overview,P1,,,,Canonical DICOM/XML mapping and geometry audit,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P1,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Canonical DICOM/XML mapping and geometry audit""}"
RES-P2-PHASE-OVERVIEW,CAT-A,phase_overview,P2,,,,Physical-nodule cohort and target materialization,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P2,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Physical-nodule cohort and target materialization""}"
RES-P3-PHASE-OVERVIEW,CAT-A,phase_overview,P3,,,,Consensus masks and deterministic 64-cubed ROI,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P3,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Consensus masks and deterministic 64-cubed ROI""}"
RES-P4-PHASE-OVERVIEW,CAT-A,phase_overview,P4,,,,Patient-grouped folds and shared encoder initializations,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,AUDIT_ONLY,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P4,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Patient-grouped folds and shared encoder initializations""}"
RES-P5-PHASE-OVERVIEW,CAT-A,phase_overview,P5,,,,Black-box regression,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P5,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Black-box regression""}"
RES-P6-PHASE-OVERVIEW,CAT-A,phase_overview,P6,,,,Sequential Standard CBM regression,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P6,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Sequential Standard CBM regression""}"
RES-P7-PHASE-OVERVIEW,CAT-A,phase_overview,P7,,,,Mixed-type CEM regression,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P7,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Mixed-type CEM regression""}"
RES-P8-PHASE-OVERVIEW,CAT-A,phase_overview,P8,,,,Learned-softmax GAM regression,What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P8,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Learned-softmax GAM regression""}"
RES-P9-PHASE-OVERVIEW,CAT-A,phase_overview,P9,,,,"Unified evaluation, intervention, and spatial explanation",What was completed in this protocol phase?,PASS,RESULT_ALREADY_EXISTS,USED_APPENDIX,ART-CATALOGUE-PHASE-STATUS-SNAPSHOT,repo://,docs/results/catalogue_phase_status_snapshot.json,phase_statuses.P9,28948919f127c5c00b2084e7213c34b85abdfe52f1361319691ac3a6409d404d,,PUBLIC_DEIDENTIFIED,False,SEC-REPRODUCIBILITY,[],[],,RESULTS_CATALOGUE_PLAN:eb3aa9110fc06acd8cd9e2a375b64bcfa5a60d768ef6f37f16e1c693576c5c93,VERIFIED,"{""component"":""phase_summary"",""purpose"":""Unified evaluation, intervention, and spatial explanation""}"
