report_component_id,component_type,section_id,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
RPT-F01,figure,SEC-ABSTRACT,RES-P10-FIGURE-RPT-F01,ART-P10-REPORT-PLAN,RPT-F01,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c
RPT-F02,figure,SEC-DATASET,RES-P10-FIGURE-RPT-F02,ART-P10-REPORT-PLAN,RPT-F02,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c
RPT-F02,figure,SEC-DATASET,RES-P10-REPORT-EVIDENCE-01,ART-P10-REPORT-PLAN,SEC-DATASET,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c
RPT-F03,figure,SEC-METHODS,RES-P10-FIGURE-RPT-F03,ART-P10-REPORT-PLAN,RPT-F03,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c
RPT-F03,figure,SEC-METHODS,RES-P10-REPORT-EVIDENCE-02,ART-P10-REPORT-PLAN,SEC-METHODS,be33c07d566914d40bd50fba65b347118e706940a64495782cf0245f7914629c
RPT-T05.row.0,table_row,SEC-SETUP,RES-P5-BLACKBOX-FOLD0-TRAIN-TEST,ART-P5-FOLD0-AUDIT,$,8a26f60f61cd084b0333779541f3aefe59b565d8c075b7f1a2dba5a92f856c11
RPT-T05.row.1,table_row,SEC-SETUP,RES-P5-BLACKBOX-FOLD1-TRAIN-TEST,ART-P5-FOLD1-AUDIT,$,ed15f31b24178b9ef398efe4c1951e6c8e4318cf8c1e2afbfcbcb896bfee2419
RPT-T05.row.2,table_row,SEC-SETUP,RES-P5-BLACKBOX-FOLD2-TRAIN-TEST,ART-P5-FOLD2-AUDIT,$,e9e78ae1cdc7f9232e84b0a77c810c5323b77b5f59e58f08f8236e0d1e253be9
RPT-T05.row.3,table_row,SEC-SETUP,RES-P5-BLACKBOX-FOLD3-TRAIN-TEST,ART-P5-FOLD3-AUDIT,$,d01689173d76116d03f4a989c8e712e8298e114a49b4850aafde66515d707821
RPT-T05.row.4,table_row,SEC-SETUP,RES-P5-BLACKBOX-FOLD4-TRAIN-TEST,ART-P5-FOLD4-AUDIT,$,46b98dc707f5e3cb78574645e34055c040e0e53b650670eb8f32e7eb1e3ba18a
