model,concept,metric,value
Standard CBM,subtlety,mae,0.1690233659538261
Standard CBM,subtlety,pearson,0.5672985649624334
Standard CBM,subtlety,rmse,0.22331885771409843
Standard CBM,subtlety,sample_count,2633
Standard CBM,subtlety,spearman,0.573287899767748
Standard CBM,internalStructure,hard_modal_macro_f1,0.24966622162883845
Standard CBM,internalStructure,hard_sample_count,2625
Standard CBM,internalStructure,multiclass_brier,0.006894532460591853
Standard CBM,internalStructure,soft_cross_entropy,0.03895045405401969
Standard CBM,internalStructure,soft_sample_count,2633
Standard CBM,internalStructure,true_tie_count,8
Standard CBM,calcification,hard_modal_macro_f1,0.31382922250827927
Standard CBM,calcification,hard_sample_count,2578
Standard CBM,calcification,multiclass_brier,0.04911064110446913
Standard CBM,calcification,soft_cross_entropy,0.20717083890659907
Standard CBM,calcification,soft_sample_count,2633
Standard CBM,calcification,true_tie_count,55
Standard CBM,sphericity,mae,0.13860692945759964
Standard CBM,sphericity,pearson,0.4365605428622793
Standard CBM,sphericity,rmse,0.1767199221180028
Standard CBM,sphericity,sample_count,2633
Standard CBM,sphericity,spearman,0.4527853599487308
Standard CBM,margin,mae,0.14564441400930872
Standard CBM,margin,pearson,0.6868109448648791
Standard CBM,margin,rmse,0.19718683847744717
Standard CBM,margin,sample_count,2633
Standard CBM,margin,spearman,0.6473195989967335
Standard CBM,lobulation,mae,0.13103477681235587
Standard CBM,lobulation,pearson,0.45971928212947866
Standard CBM,lobulation,rmse,0.1857403492125993
Standard CBM,lobulation,sample_count,2633
Standard CBM,lobulation,spearman,0.4558621559209562
Standard CBM,spiculation,mae,0.12106153670595121
Standard CBM,spiculation,pearson,0.5069319629539584
Standard CBM,spiculation,rmse,0.18155099910029054
Standard CBM,spiculation,sample_count,2633
Standard CBM,spiculation,spearman,0.41637155235919837
Standard CBM,texture,mae,0.11613561242964089
Standard CBM,texture,pearson,0.7828419861902218
Standard CBM,texture,rmse,0.18018585304190687
Standard CBM,texture,sample_count,2633
Standard CBM,texture,spearman,0.5806171932906538
Mixed-type CEM,subtlety,mae,0.20379009853342483
Mixed-type CEM,subtlety,pearson,0.44451508611039947
Mixed-type CEM,subtlety,rmse,0.25023689621015377
Mixed-type CEM,subtlety,sample_count,2633
Mixed-type CEM,subtlety,spearman,0.44907956408386884
Mixed-type CEM,internalStructure,hard_modal_macro_f1,0.24966622162883845
Mixed-type CEM,internalStructure,hard_sample_count,2625
Mixed-type CEM,internalStructure,multiclass_brier,0.013565063771646159
Mixed-type CEM,internalStructure,soft_cross_entropy,0.08272390448890315
Mixed-type CEM,internalStructure,soft_sample_count,2633
Mixed-type CEM,internalStructure,true_tie_count,8
Mixed-type CEM,calcification,hard_modal_macro_f1,0.3098312470634747
Mixed-type CEM,calcification,hard_sample_count,2578
Mixed-type CEM,calcification,multiclass_brier,0.06770655792196739
Mixed-type CEM,calcification,soft_cross_entropy,0.2624260211317417
Mixed-type CEM,calcification,soft_sample_count,2633
Mixed-type CEM,calcification,true_tie_count,55
Mixed-type CEM,sphericity,mae,0.17799110976046045
Mixed-type CEM,sphericity,pearson,0.05612882021409644
Mixed-type CEM,sphericity,rmse,0.21707861119555993
Mixed-type CEM,sphericity,sample_count,2633
Mixed-type CEM,sphericity,spearman,0.05139042541459757
Mixed-type CEM,margin,mae,0.24631800153920552
Mixed-type CEM,margin,pearson,0.1879508769641104
Mixed-type CEM,margin,rmse,0.29209313291999894
Mixed-type CEM,margin,sample_count,2633
Mixed-type CEM,margin,spearman,0.17089772099824163
Mixed-type CEM,lobulation,mae,0.18286606245255044
Mixed-type CEM,lobulation,pearson,0.27014362221062044
Mixed-type CEM,lobulation,rmse,0.21752332081662135
Mixed-type CEM,lobulation,sample_count,2633
Mixed-type CEM,lobulation,spearman,0.24882408658693328
Mixed-type CEM,spiculation,mae,0.17992859008621906
Mixed-type CEM,spiculation,pearson,0.304952953369775
Mixed-type CEM,spiculation,rmse,0.215524803249559
Mixed-type CEM,spiculation,sample_count,2633
Mixed-type CEM,spiculation,spearman,0.2743330431682969
Mixed-type CEM,texture,mae,0.26502613743085895
Mixed-type CEM,texture,pearson,0.2024534292915387
Mixed-type CEM,texture,rmse,0.3051717569392387
Mixed-type CEM,texture,sample_count,2633
Mixed-type CEM,texture,spearman,0.16663506061442399
Learned-softmax GAM,subtlety,mae,0.16767763455093834
Learned-softmax GAM,subtlety,pearson,0.5784669280342281
Learned-softmax GAM,subtlety,rmse,0.2208590730564958
Learned-softmax GAM,subtlety,sample_count,2633
Learned-softmax GAM,subtlety,spearman,0.5823135681878614
Learned-softmax GAM,internalStructure,hard_modal_macro_f1,0.31207052872685626
Learned-softmax GAM,internalStructure,hard_sample_count,2625
Learned-softmax GAM,internalStructure,multiclass_brier,0.007273487807661317
Learned-softmax GAM,internalStructure,soft_cross_entropy,0.03812797031534167
Learned-softmax GAM,internalStructure,soft_sample_count,2633
Learned-softmax GAM,internalStructure,true_tie_count,8
Learned-softmax GAM,calcification,hard_modal_macro_f1,0.312731908772181
Learned-softmax GAM,calcification,hard_sample_count,2578
Learned-softmax GAM,calcification,multiclass_brier,0.0480570545460712
Learned-softmax GAM,calcification,soft_cross_entropy,0.20130280139427664
Learned-softmax GAM,calcification,soft_sample_count,2633
Learned-softmax GAM,calcification,true_tie_count,55
Learned-softmax GAM,sphericity,mae,0.1400152948637947
Learned-softmax GAM,sphericity,pearson,0.42420868210814455
Learned-softmax GAM,sphericity,rmse,0.17844798532513542
Learned-softmax GAM,sphericity,sample_count,2633
Learned-softmax GAM,sphericity,spearman,0.4350899154727833
Learned-softmax GAM,margin,mae,0.14547141192306187
Learned-softmax GAM,margin,pearson,0.6833592591610684
Learned-softmax GAM,margin,rmse,0.19826073308937975
Learned-softmax GAM,margin,sample_count,2633
Learned-softmax GAM,margin,spearman,0.6478455646857657
Learned-softmax GAM,lobulation,mae,0.1272190256593229
