phase,model,fold,job_id,queue,gpu_model,ncpus,memory_gb,walltime,run_count,exit_status,scientific_status,config_sha256,split_sha256,encoder_sha256,checkpoint_sha256,test_transaction_count,verifier_or_recovery_evidence
P5,Black-box,0,8965243,csegpu48,NVIDIA H200,8,46,48:00:00,1,1,PASS,66c925a7b43bf9fa312ceb850b43746a34d1808888667c39392eaef9e47495bb,543ec76c07f9113ba84130f2cf4caace4f217e114052066dc2eb25859be61833,d7fa4604dfaa1ebee6d8653f70b9d3e97266dbbdbb0eed573a7b43cd8a12948e,e6db39216c3a0253dddee4761d8d99fc9f4550ba58c3414b8b6eaff6b25fb810,1,Verifier false failure; existing-artifact verifier recovery PASS
P5,Black-box,1,8965994,csegpu48,NVIDIA H200,8,46,48:00:00,1,0,PASS,66c925a7b43bf9fa312ceb850b43746a34d1808888667c39392eaef9e47495bb,d4f204e1411cecfad11b94adf6f4eb328aaad12c18f37e5fe74a38d8aedeacb7,c7a43fc72e50637ce6b918ec540301a4f59b69636f8b6f9d0810baaa89d4dd8e,25e6a16ac8f7b5141feaa3118948c45d5e300d34ba20e5c64bb47cd78798cb3b,1,Direct formal job Exit0; final verifier PASS
P5,Black-box,2,8965995,csegpu48,NVIDIA H200,8,46,48:00:00,1,0,PASS,66c925a7b43bf9fa312ceb850b43746a34d1808888667c39392eaef9e47495bb,722791eb9443b7718f63f70b5f4294e8609e3d8cbc1593cce79cd531f8bbf124,ce78050e766b9d84333979f33833037407061529c449d41ecabfb672f4e31149,da146d72464982f1e0d47eba66cc438ca45621b2cad0985c87de40bc6b6b664f,1,Direct formal job Exit0; final verifier PASS
P5,Black-box,3,8965996,csegpu48,NVIDIA H200,8,46,48:00:00,1,0,PASS,66c925a7b43bf9fa312ceb850b43746a34d1808888667c39392eaef9e47495bb,eb27e847838281af43ad6a1683ef3e0e5cacad26e8602291968f68b196e2e44f,83d07375d8a470123f105d6d885b025da65024db48dca96aa4303dd92460c481,3a06572b8c819a6efe97eb4e100bad2f6edb2f2c30b456a2f4b6d5a6020d1c3c,1,Direct formal job Exit0; final verifier PASS
P5,Black-box,4,8965997,csegpu48,NVIDIA H200,8,46,48:00:00,1,0,PASS,66c925a7b43bf9fa312ceb850b43746a34d1808888667c39392eaef9e47495bb,f6ac19b39f892e1fedd432aa3d6f2efc943d519fe6d7df27e0d975682725b6bb,5d83267c5e8a3e89368d160f1a2ce46a387ca28cb2f6061c4bc55ffaca4afdf9,9b09929be03ba3fc4f0e7c0f180f6e5bb0c5494960a9b3bb1370bda115385096,1,Direct formal job Exit0; final verifier PASS
P6,Standard CBM,0,8969575,csegpu48,NVIDIA H200,8,64,48:00:00,1,0,PASS,792f544aef33d30f122054ba40bdf8f185cea71e516614545ba3f85879ed3bc3,543ec76c07f9113ba84130f2cf4caace4f217e114052066dc2eb25859be61833,d7fa4604dfaa1ebee6d8653f70b9d3e97266dbbdbb0eed573a7b43cd8a12948e,ccc67ba2d60c8d908886a393525761e0da2f49383eda286b7c2f86b0c7f36f37+7236e6ae8f580ffb4d94e2bcab9675f5e79cfc1e4a08e228f5d406622d77c75b,1,Direct formal verifier PASS
P6,Standard CBM,1,8969576,csegpu48,NVIDIA H200,8,64,48:00:00,1,0,PASS,792f544aef33d30f122054ba40bdf8f185cea71e516614545ba3f85879ed3bc3,d4f204e1411cecfad11b94adf6f4eb328aaad12c18f37e5fe74a38d8aedeacb7,c7a43fc72e50637ce6b918ec540301a4f59b69636f8b6f9d0810baaa89d4dd8e,e466bd577d3b1bffc8930a18d8d84c534361daf80f4e8a671ddb07554405671f+2ce513a281f7c99b30bbd66d3d92ae96a4ab7d2df0c11e79a45a4a767c076831,1,Direct formal verifier PASS
P6,Standard CBM,2,8969577,csegpu48,NVIDIA H200,8,64,48:00:00,1,0,PASS,792f544aef33d30f122054ba40bdf8f185cea71e516614545ba3f85879ed3bc3,722791eb9443b7718f63f70b5f4294e8609e3d8cbc1593cce79cd531f8bbf124,ce78050e766b9d84333979f33833037407061529c449d41ecabfb672f4e31149,deb2c04cbaefb4c81d21ea09d6ed430c6d03a4830ebda189b974202bb5126025+7fa0452a1cbb5b2a3a5fec70ab3c8396eac262bca3dd9d21efc9a117c5a62082,1,Direct formal verifier PASS
P6,Standard CBM,3,8969578,csegpu48,NVIDIA H200,8,64,48:00:00,1,0,PASS,792f544aef33d30f122054ba40bdf8f185cea71e516614545ba3f85879ed3bc3,eb27e847838281af43ad6a1683ef3e0e5cacad26e8602291968f68b196e2e44f,83d07375d8a470123f105d6d885b025da65024db48dca96aa4303dd92460c481,03eaef7ac6aa56f4f2ff7d08df335bd6dea3b2af97587ae3c21c3aa2f1abc6d5+124ff47ab4e791c1547e966d0dcf5ad55e574b0550e37374942a14475fbb4455,1,Direct formal verifier PASS
P6,Standard CBM,4,8969579,csegpu48,NVIDIA H200,8,64,48:00:00,1,0,PASS,792f544aef33d30f122054ba40bdf8f185cea71e516614545ba3f85879ed3bc3,f6ac19b39f892e1fedd432aa3d6f2efc943d519fe6d7df27e0d975682725b6bb,5d83267c5e8a3e89368d160f1a2ce46a387ca28cb2f6061c4bc55ffaca4afdf9,86128ae9eb3f7ba3a1406e5951b5f3dfee16314f1eb87220944a9fd140846b0a+c40cf8b4a5df6288d3efd50f724ab37057808ab70330e2aecd63c6f02443fe92,1,Direct formal verifier PASS
P7,Mixed-type CEM,0,8974425,csegpu100,NVIDIA H200,8,64,96:00:00,1,0,PASS,60e84612eec0ce60b0d17284f6888ddea3627778ab39bcee4c0c6ee3b0c63a2c,543ec76c07f9113ba84130f2cf4caace4f217e114052066dc2eb25859be61833,d7fa4604dfaa1ebee6d8653f70b9d3e97266dbbdbb0eed573a7b43cd8a12948e,ac439aa21b3c1de6dca2f416e9981e0106094f1f1ee0b8bd5901c5e4bfc2fbff,1,Direct formal job Exit0; final verifier PASS
P7,Mixed-type CEM,1,8974429,csegpu100,NVIDIA H200,8,64,96:00:00,1,0,PASS,60e84612eec0ce60b0d17284f6888ddea3627778ab39bcee4c0c6ee3b0c63a2c,d4f204e1411cecfad11b94adf6f4eb328aaad12c18f37e5fe74a38d8aedeacb7,c7a43fc72e50637ce6b918ec540301a4f59b69636f8b6f9d0810baaa89d4dd8e,270e7d1fc403e2566fdd84fe32a3f405e2e3cefe59cb24671f44ee8ac2e0e190,1,Direct formal job Exit0; final verifier PASS
P7,Mixed-type CEM,2,8974427,csegpu100,NVIDIA H200,8,64,96:00:00,1,0,PASS,60e84612eec0ce60b0d17284f6888ddea3627778ab39bcee4c0c6ee3b0c63a2c,722791eb9443b7718f63f70b5f4294e8609e3d8cbc1593cce79cd531f8bbf124,ce78050e766b9d84333979f33833037407061529c449d41ecabfb672f4e31149,b1d9aab8d20cb8331a0f915f7008b902fc048577f1fa138572cb784a757fe166,1,Direct formal job Exit0; final verifier PASS
P7,Mixed-type CEM,3,8974428,csegpu100,NVIDIA H200,8,64,96:00:00,1,0,PASS,60e84612eec0ce60b0d17284f6888ddea3627778ab39bcee4c0c6ee3b0c63a2c,eb27e847838281af43ad6a1683ef3e0e5cacad26e8602291968f68b196e2e44f,83d07375d8a470123f105d6d885b025da65024db48dca96aa4303dd92460c481,bf738f9d6e44f3a8de3a080245c0c964b92ed54c144265577571a68c23f7515b,1,Direct formal job Exit0; final verifier PASS
P7,Mixed-type CEM,4,8974426,csegpu100,NVIDIA H200,8,64,96:00:00,1,1,PASS,60e84612eec0ce60b0d17284f6888ddea3627778ab39bcee4c0c6ee3b0c63a2c,f6ac19b39f892e1fedd432aa3d6f2efc943d519fe6d7df27e0d975682725b6bb,5d83267c5e8a3e89368d160f1a2ce46a387ca28cb2f6061c4bc55ffaca4afdf9,e245f06f4d001a1450a35bdfd87dd053d0210bc8b5fc942194a6a6cd8e641a07,1,Invalidated precommit test attempt; controlled recovery 8976532 PASS
P8,Learned-softmax GAM,0,8979874,csegpu12,NVIDIA H200,8,64,11:00:00,1,1,PASS,1569b09c83d6a785601c181d615ac656b71623d054e45705bc0a35b17ba2dc7f,543ec76c07f9113ba84130f2cf4caace4f217e114052066dc2eb25859be61833,d7fa4604dfaa1ebee6d8653f70b9d3e97266dbbdbb0eed573a7b43cd8a12948e,76739980eb572d46abd1b31ab4ca34e5a4dbc50b67f816a0b5e92b2fbb2266c7,1,Verifier false failure Exit1; CPU verifier 8983016 PASS
P8,Learned-softmax GAM,1,8979876,csegpu12,NVIDIA H200,8,64,11:00:00,21,-18,PASS,1569b09c83d6a785601c181d615ac656b71623d054e45705bc0a35b17ba2dc7f,d4f204e1411cecfad11b94adf6f4eb328aaad12c18f37e5fe74a38d8aedeacb7,c7a43fc72e50637ce6b918ec540301a4f59b69636f8b6f9d0810baaa89d4dd8e,656698db0d075b324134abe6b8276a9fd6b9a79d6350b6711d006b5bce07a390,1,PBS automatic rerun/hold run_count21 Exit-18; test transaction guard held at 1; CPU verifier 8983016 PASS
