model,fold,target,requested_maps,valid_maps,undefined_maps,undefined_rate
Black-box,0,malignancy,479,479,0,0.0
Black-box,1,malignancy,502,502,0,0.0
Black-box,2,malignancy,539,539,0,0.0
Black-box,3,malignancy,549,448,101,0.18397085610200364
Black-box,4,malignancy,564,461,103,0.18262411347517732
Standard CBM,0,calcification,479,183,296,0.6179540709812108
Standard CBM,0,internalStructure,479,382,97,0.20250521920668058
Standard CBM,0,lobulation,479,479,0,0.0
Standard CBM,0,malignancy,479,424,55,0.11482254697286012
Standard CBM,0,margin,479,479,0,0.0
Standard CBM,0,sphericity,479,479,0,0.0
Standard CBM,0,spiculation,479,433,46,0.09603340292275574
Standard CBM,0,subtlety,479,479,0,0.0
Standard CBM,0,texture,479,479,0,0.0
Standard CBM,1,calcification,502,309,193,0.3844621513944223
Standard CBM,1,internalStructure,502,501,1,0.00199203187250996
Standard CBM,1,lobulation,502,502,0,0.0
Standard CBM,1,malignancy,502,423,79,0.15737051792828685
Standard CBM,1,margin,502,502,0,0.0
Standard CBM,1,sphericity,502,501,1,0.00199203187250996
Standard CBM,1,spiculation,502,500,2,0.00398406374501992
Standard CBM,1,subtlety,502,478,24,0.04780876494023904
Standard CBM,1,texture,502,502,0,0.0
Standard CBM,2,calcification,539,493,46,0.08534322820037106
Standard CBM,2,internalStructure,539,530,9,0.016697588126159554
Standard CBM,2,lobulation,539,452,87,0.1614100185528757
Standard CBM,2,malignancy,539,456,83,0.15398886827458255
Standard CBM,2,margin,539,529,10,0.01855287569573284
Standard CBM,2,sphericity,539,538,1,0.0018552875695732839
Standard CBM,2,spiculation,539,530,9,0.016697588126159554
Standard CBM,2,subtlety,539,534,5,0.00927643784786642
Standard CBM,2,texture,539,529,10,0.01855287569573284
Standard CBM,3,calcification,549,548,1,0.0018214936247723133
Standard CBM,3,internalStructure,549,538,11,0.020036429872495445
Standard CBM,3,lobulation,549,549,0,0.0
Standard CBM,3,malignancy,549,535,14,0.025500910746812388
Standard CBM,3,margin,549,549,0,0.0
Standard CBM,3,sphericity,549,549,0,0.0
Standard CBM,3,spiculation,549,549,0,0.0
Standard CBM,3,subtlety,549,522,27,0.04918032786885246
Standard CBM,3,texture,549,549,0,0.0
Standard CBM,4,calcification,564,405,159,0.28191489361702127
Standard CBM,4,internalStructure,564,555,9,0.015957446808510637
Standard CBM,4,lobulation,564,563,1,0.0017730496453900709
Standard CBM,4,malignancy,564,560,4,0.0070921985815602835
Standard CBM,4,margin,564,564,0,0.0
Standard CBM,4,sphericity,564,564,0,0.0
Standard CBM,4,spiculation,564,564,0,0.0
Standard CBM,4,subtlety,564,563,1,0.0017730496453900709
Standard CBM,4,texture,564,561,3,0.005319148936170213
Mixed-type CEM,0,calcification,479,356,123,0.2567849686847599
Mixed-type CEM,0,internalStructure,479,170,309,0.6450939457202505
Mixed-type CEM,0,lobulation,479,478,1,0.0020876826722338203
Mixed-type CEM,0,malignancy,479,102,377,0.7870563674321504
Mixed-type CEM,0,margin,479,479,0,0.0
Mixed-type CEM,0,sphericity,479,479,0,0.0
Mixed-type CEM,0,spiculation,479,479,0,0.0
Mixed-type CEM,0,subtlety,479,456,23,0.04801670146137787
Mixed-type CEM,0,texture,479,475,4,0.008350730688935281
Mixed-type CEM,1,calcification,502,202,300,0.5976095617529881
Mixed-type CEM,1,internalStructure,502,499,3,0.00597609561752988
Mixed-type CEM,1,lobulation,502,502,0,0.0
Mixed-type CEM,1,malignancy,502,318,184,0.3665338645418327
Mixed-type CEM,1,margin,502,501,1,0.00199203187250996
Mixed-type CEM,1,sphericity,502,497,5,0.0099601593625498
Mixed-type CEM,1,spiculation,502,502,0,0.0
Mixed-type CEM,1,subtlety,502,488,14,0.027888446215139442
Mixed-type CEM,1,texture,502,483,19,0.037848605577689244
Mixed-type CEM,2,calcification,539,509,30,0.055658627087198514
Mixed-type CEM,2,internalStructure,539,362,177,0.32838589981447125
Mixed-type CEM,2,lobulation,539,405,134,0.24860853432282004
Mixed-type CEM,2,malignancy,539,213,326,0.6048237476808905
Mixed-type CEM,2,margin,539,539,0,0.0
Mixed-type CEM,2,sphericity,539,538,1,0.0018552875695732839
Mixed-type CEM,2,spiculation,539,539,0,0.0
Mixed-type CEM,2,subtlety,539,538,1,0.0018552875695732839
Mixed-type CEM,2,texture,539,539,0,0.0
Mixed-type CEM,3,calcification,549,481,68,0.12386156648451731
Mixed-type CEM,3,internalStructure,549,549,0,0.0
Mixed-type CEM,3,lobulation,549,537,12,0.02185792349726776
Mixed-type CEM,3,malignancy,549,431,118,0.21493624772313297
Mixed-type CEM,3,margin,549,549,0,0.0
Mixed-type CEM,3,sphericity,549,548,1,0.0018214936247723133
Mixed-type CEM,3,spiculation,549,549,0,0.0
Mixed-type CEM,3,subtlety,549,549,0,0.0
Mixed-type CEM,3,texture,549,542,7,0.012750455373406194
Mixed-type CEM,4,calcification,564,368,196,0.3475177304964539
Mixed-type CEM,4,internalStructure,564,167,397,0.7039007092198581
Mixed-type CEM,4,lobulation,564,564,0,0.0
Mixed-type CEM,4,malignancy,564,203,361,0.6400709219858156
Mixed-type CEM,4,margin,564,558,6,0.010638297872340425
Mixed-type CEM,4,sphericity,564,384,180,0.3191489361702128
Mixed-type CEM,4,spiculation,564,564,0,0.0
Mixed-type CEM,4,subtlety,564,564,0,0.0
Mixed-type CEM,4,texture,564,561,3,0.005319148936170213
Learned-softmax GAM,0,calcification,479,422,57,0.11899791231732777
Learned-softmax GAM,0,internalStructure,479,453,26,0.054279749478079335
Learned-softmax GAM,0,lobulation,479,475,4,0.008350730688935281
Learned-softmax GAM,0,malignancy,479,472,7,0.014613778705636743
Learned-softmax GAM,0,margin,479,412,67,0.13987473903966596
Learned-softmax GAM,0,sphericity,479,479,0,0.0
Learned-softmax GAM,0,spiculation,479,459,20,0.04175365344467641
Learned-softmax GAM,0,subtlety,479,477,2,0.0041753653444676405
Learned-softmax GAM,0,texture,479,418,61,0.12734864300626306
Learned-softmax GAM,1,calcification,502,482,20,0.0398406374501992
Learned-softmax GAM,1,internalStructure,502,459,43,0.08565737051792828
Learned-softmax GAM,1,lobulation,502,439,63,0.1254980079681275
Learned-softmax GAM,1,malignancy,502,463,39,0.07768924302788845
Learned-softmax GAM,1,margin,502,497,5,0.0099601593625498
Learned-softmax GAM,1,sphericity,502,473,29,0.05776892430278884
Learned-softmax GAM,1,spiculation,502,484,18,0.035856573705179286
Learned-softmax GAM,1,subtlety,502,502,0,0.0
Learned-softmax GAM,1,texture,502,499,3,0.00597609561752988
Learned-softmax GAM,2,calcification,539,525,14,0.025974025974025976
Learned-softmax GAM,2,internalStructure,539,494,45,0.08348794063079777
Learned-softmax GAM,2,lobulation,539,528,11,0.02040816326530612
Learned-softmax GAM,2,malignancy,539,514,25,0.04638218923933209
Learned-softmax GAM,2,margin,539,539,0,0.0
Learned-softmax GAM,2,sphericity,539,537,2,0.0037105751391465678
Learned-softmax GAM,2,spiculation,539,367,172,0.31910946196660483
Learned-softmax GAM,2,subtlety,539,539,0,0.0
Learned-softmax GAM,2,texture,539,472,67,0.12430426716141002
Learned-softmax GAM,3,calcification,549,198,351,0.639344262295082
Learned-softmax GAM,3,internalStructure,549,476,73,0.13296903460837886
Learned-softmax GAM,3,lobulation,549,426,123,0.22404371584699453
Learned-softmax GAM,3,malignancy,549,426,123,0.22404371584699453
Learned-softmax GAM,3,margin,549,549,0,0.0
Learned-softmax GAM,3,sphericity,549,549,0,0.0
Learned-softmax GAM,3,spiculation,549,410,139,0.25318761384335153
Learned-softmax GAM,3,subtlety,549,509,40,0.07285974499089254
Learned-softmax GAM,3,texture,549,521,28,0.051001821493624776
Learned-softmax GAM,4,calcification,564,435,129,0.22872340425531915
Learned-softmax GAM,4,internalStructure,564,511,53,0.09397163120567376
Learned-softmax GAM,4,lobulation,564,485,79,0.1400709219858156
Learned-softmax GAM,4,malignancy,564,486,78,0.13829787234042554
Learned-softmax GAM,4,margin,564,562,2,0.0035460992907801418
Learned-softmax GAM,4,sphericity,564,564,0,0.0
Learned-softmax GAM,4,spiculation,564,564,0,0.0
Learned-softmax GAM,4,subtlety,564,496,68,0.12056737588652482
Learned-softmax GAM,4,texture,564,564,0,0.0
