model,strategy,k,mae,mae_sd,auroc,auroc_sd
Standard CBM,random_permutations,0,0.5020675441161305,2.220446049250313e-16,0.9327436039409039,1.5543122344752192e-15
Standard CBM,error_first,0,0.5020675441161305,,0.9327436039409039,
Standard CBM,random_permutations,1,0.5009820915602998,0.007589401489473288,0.932143284028089,0.004836536623027927
Standard CBM,error_first,1,0.49521313514946597,,0.9265474903542771,
Standard CBM,random_permutations,2,0.5000961668285276,0.009720231565443854,0.9310542621351543,0.005467074284327135
Standard CBM,error_first,2,0.5081506283258861,,0.918633163709231,
Standard CBM,random_permutations,3,0.4997957220001896,0.010790692545503026,0.9303956284441165,0.005660586601984552
Standard CBM,error_first,3,0.5070292122107566,,0.9165765813272866,
Standard CBM,random_permutations,4,0.4995656616448764,0.011633476073443765,0.9294692874908818,0.0056364223538007165
Standard CBM,error_first,4,0.5095877678867263,,0.9181190181137449,
Standard CBM,random_permutations,5,0.4997577695373465,0.012091009063508991,0.9286542129177984,0.005090118318474667
Standard CBM,error_first,5,0.5079739504524842,,0.9214763449082009,
Standard CBM,random_permutations,6,0.502276167263566,0.010766746073962738,0.9271023721007902,0.004101508320524151
Standard CBM,error_first,6,0.507532001120197,,0.9236252098329247,
Standard CBM,random_permutations,7,0.5041093086360067,0.008692855257039557,0.9257438412388714,0.0031910164798474704
Standard CBM,error_first,7,0.507395096575483,,0.9238581133932732,
Standard CBM,random_permutations,8,0.5075233796533053,2.1613735616745382e-16,0.9236955203417095,4.440892098500626e-16
Standard CBM,error_first,8,0.5075233796533051,,0.9236955203417091,
Mixed-type CEM,random_permutations,0,0.48413964929531944,6.106226635438361e-16,0.9416862217769223,1.887379141862766e-15
Mixed-type CEM,error_first,0,0.48413964929531944,,0.9416862217769223,
Mixed-type CEM,random_permutations,1,0.47552576515123507,0.005884316730608051,0.9455702621703099,0.0025200986257582895
Mixed-type CEM,error_first,1,0.45848000994623944,,0.952883170300841,
Mixed-type CEM,random_permutations,2,0.4680557156127228,0.007608035282699322,0.9492515446339899,0.0028126524337693296
Mixed-type CEM,error_first,2,0.44840423686446973,,0.9592638489730272,
Mixed-type CEM,random_permutations,3,0.46008163835715443,0.008101100730888464,0.9523146658932515,0.003566890740956815
Mixed-type CEM,error_first,3,0.4425203673250877,,0.9600021093152634,
Mixed-type CEM,random_permutations,4,0.45398552541589565,0.008258336874535036,0.9548512053857849,0.003407861955572408
Mixed-type CEM,error_first,4,0.44003275024307537,,0.9618257881368594,
Mixed-type CEM,random_permutations,5,0.448274435887001,0.007643832837608202,0.9573013068965824,0.003095708729278103
Mixed-type CEM,error_first,5,0.43666432684926365,,0.9631265325493711,
Mixed-type CEM,random_permutations,6,0.443361312190601,0.006733376278011838,0.9597810706532726,0.0024985851637423385
Mixed-type CEM,error_first,6,0.43518447997410564,,0.9636802278060485,
Mixed-type CEM,random_permutations,7,0.43907933574469565,0.0045872731900644705,0.9617190919397787,0.0017041905126634533
Mixed-type CEM,error_first,7,0.4355616608936386,,0.9637329606876368,
Mixed-type CEM,random_permutations,8,0.43581826318897504,5.551115123125783e-16,0.9637593271284298,1.1102230246251565e-15
Mixed-type CEM,error_first,8,0.4358182631889745,,0.9637593271284309,
Learned-softmax GAM,random_permutations,0,0.48042932722742515,7.771561172376096e-16,0.9492929399460368,1.9984014443252818e-15
Learned-softmax GAM,error_first,0,0.48042932722742515,,0.9492929399460368,
Learned-softmax GAM,random_permutations,1,0.4775292454742012,0.007820019002507644,0.9492604213357234,0.0038271111080554116
Learned-softmax GAM,error_first,1,0.46447166454860855,,0.9464497587470668,
Learned-softmax GAM,random_permutations,2,0.47639129827598886,0.010576888034321101,0.9491218217452823,0.005607942129398132
Learned-softmax GAM,error_first,2,0.4900730597756068,,0.9321811198706287,
Learned-softmax GAM,random_permutations,3,0.47600763360014936,0.014101298547073234,0.9478854114483087,0.007406943037202393
Learned-softmax GAM,error_first,3,0.4997633795821875,,0.9258224132324377,
Learned-softmax GAM,random_permutations,4,0.478706962951715,0.014106603410430763,0.9449802251694046,0.006918417103321504
Learned-softmax GAM,error_first,4,0.504905227508824,,0.924534852040323,
Learned-softmax GAM,random_permutations,5,0.48270250900734973,0.015283154782485327,0.9422655364252382,0.00705095685682782
Learned-softmax GAM,error_first,5,0.5058933303955906,,0.9281953929039118,
Learned-softmax GAM,random_permutations,6,0.4891134829141809,0.014654724683231344,0.9387635897030259,0.006412824457102582
Learned-softmax GAM,error_first,6,0.5069875762531311,,0.9297773793515614,
Learned-softmax GAM,random_permutations,7,0.4955978821023615,0.012152140659937501,0.9354074054543376,0.005141365676426439
Learned-softmax GAM,error_first,7,0.5068149822637351,,0.9297290408767721,
Learned-softmax GAM,random_permutations,8,0.5067873927793491,1.1102230246251565e-15,0.9297685905379619,1.3322676295501878e-15
Learned-softmax GAM,error_first,8,0.506787392779348,,0.9297685905379632,
