model,scope,fold,target,quantity,sample_count,saliency_mean,saliency_sd,saliency_median,saliency_minus_random_mean,saliency_greater_than_random_rate
Black-box,fold_target,0,malignancy,output_sensitivity,479,0.01762517406712121,0.026107366039385165,0.008107781410217285,-0.3182897109196119,0.0020876826722338203
Black-box,fold_target,0,malignancy,error_increase,479,0.0034297609231230615,0.030732647924203837,0.0,-0.208902181209264,0.18580375782881003
Black-box,fold_target,1,malignancy,output_sensitivity,502,0.03239127494806639,0.03687086014185192,0.021201595664024353,-0.46778967181949754,0.00199203187250996
Black-box,fold_target,1,malignancy,error_increase,502,-0.0005316646391795482,0.04212206413486232,0.0,-0.37514870218134266,0.09561752988047809
Black-box,fold_target,2,malignancy,output_sensitivity,539,0.025781829969297423,0.021915117657623807,0.02031804621219635,-0.2767707614701566,0.00927643784786642
Black-box,fold_target,2,malignancy,error_increase,539,0.005380826874940795,0.03197484425927864,0.003111600875854492,-0.1983717019518235,0.14842300556586271
Black-box,fold_target,3,malignancy,output_sensitivity,448,0.029499887260109454,0.027502846577472373,0.02111414074897766,-0.264431246409991,0.017857142857142856
Black-box,fold_target,3,malignancy,error_increase,448,0.005560645316672025,0.03658140072749214,0.0021274983882904053,-0.19767704757507001,0.13616071428571427
Black-box,fold_target,4,malignancy,output_sensitivity,461,0.020152094242629672,0.018632731940317702,0.015133202075958252,-0.2787174963802423,0.013015184381778741
Black-box,fold_target,4,malignancy,error_increase,461,0.00043867120084259203,0.02624399899147125,0.0002651214599609375,-0.19070821111713382,0.1561822125813449
Black-box,pooled_target,,malignancy,output_sensitivity,2429,0.025156586946855915,0.027525741510950687,0.017182469367980957,-0.3225296794727311,0.008645533141210375
Black-box,pooled_target,,malignancy,error_increase,2429,0.0028693380174386186,0.034112373915857266,0.0,-0.23540014132767986,0.1440922190201729
Black-box,pooled_model,,ALL,output_sensitivity,2429,0.025156586946855915,0.027525741510950687,0.017182469367980957,-0.3225296794727311,0.008645533141210375
Black-box,pooled_model,,ALL,error_increase,2429,0.0028693380174386186,0.034112373915857266,0.0,-0.23540014132767986,0.1440922190201729
Standard CBM,fold_target,0,calcification,output_sensitivity,183,0.09034423977950883,0.11080519696040278,0.04752922058105469,-0.5499493639783862,0.0546448087431694
Standard CBM,fold_target,0,calcification,error_increase,183,-0.016478361002083032,0.14086692794626587,-0.01177835464477539,0.46999115975699196,0.9344262295081968
Standard CBM,fold_target,0,internalStructure,output_sensitivity,382,0.18626768988464515,0.14109832244464357,0.15686285495758057,-0.7492467089317232,0.06544502617801047
Standard CBM,fold_target,0,internalStructure,error_increase,382,-0.1636875480881536,0.1667656304294843,-0.14846885204315186,0.5611936233898732,0.7801047120418848
Standard CBM,fold_target,0,lobulation,output_sensitivity,479,0.1948344223901225,0.16794352928642337,0.16414666175842285,-1.1012581521337987,0.008350730688935281
Standard CBM,fold_target,0,lobulation,error_increase,479,-0.1889727084677752,0.17451302711151867,-0.16414666175842285,1.0996588249153554,0.9791231732776617
Standard CBM,fold_target,0,malignancy,output_sensitivity,424,0.011102461695389927,0.009530860778222185,0.00888243317604065,-0.15220036898511197,0.014150943396226415
Standard CBM,fold_target,0,malignancy,error_increase,424,0.001213064956121476,0.014184625088331926,0.00048279762268066406,-0.08839303515382907,0.2806603773584906
Standard CBM,fold_target,0,margin,output_sensitivity,479,0.1748825837323337,0.16050018482222483,0.13660049438476562,-1.1127221983599287,0.025052192066805846
Standard CBM,fold_target,0,margin,error_increase,479,-0.08030450216798461,0.21015870956449698,-0.06185197830200195,-0.5134129892733107,0.2546972860125261
Standard CBM,fold_target,0,sphericity,output_sensitivity,479,0.06228406995239363,0.09817965924665632,0.016519784927368164,-0.596672498192327,0.008350730688935281
Standard CBM,fold_target,0,sphericity,error_increase,479,-0.043590073373295735,0.1026614419682011,-0.004079103469848633,-0.22609521929238174,0.2755741127348643
Standard CBM,fold_target,0,spiculation,output_sensitivity,433,0.2724155010590997,0.25896178916300405,0.17866206169128418,-1.4999929212927834,0.006928406466512702
Standard CBM,fold_target,0,spiculation,error_increase,433,-0.2671377280421607,0.264310117196084,-0.17866206169128418,1.3175213003069783,0.9653579676674365
Standard CBM,fold_target,0,subtlety,output_sensitivity,479,0.09676597460653313,0.11525165756869413,0.05200934410095215,-1.1689695264121405,0.006263048016701462
Standard CBM,fold_target,0,subtlety,error_increase,479,0.01921528805029127,0.13424334282434444,0.0,-0.8585785947929324,0.20250521920668058
Standard CBM,fold_target,0,texture,output_sensitivity,479,0.11106110234319044,0.16306095757955463,0.041622161865234375,-0.8737495321283186,0.054279749478079335
Standard CBM,fold_target,0,texture,error_increase,479,-0.037936806740989766,0.19047242771159156,-0.0004367828369140625,-0.15748106405460105,0.5031315240083507
Standard CBM,fold_target,1,calcification,output_sensitivity,309,0.10233880420332973,0.1263500339962464,0.04967164993286133,-1.0123881366622294,0.0970873786407767
Standard CBM,fold_target,1,calcification,error_increase,309,0.003072211850422486,0.16121999888828498,0.004140377044677734,-0.08618410343250024,0.6504854368932039
Standard CBM,fold_target,1,internalStructure,output_sensitivity,501,0.15015162227158538,0.15504987810756707,0.09618830680847168,-0.8054733214977972,0.08183632734530938
Standard CBM,fold_target,1,internalStructure,error_increase,501,-0.11396844967634616,0.18329529958602434,-0.06415867805480957,0.4190225884348094,0.6586826347305389
Standard CBM,fold_target,1,lobulation,output_sensitivity,502,0.233326268163454,0.23551356685914768,0.1483687460422516,-1.7403623762406941,0.00398406374501992
Standard CBM,fold_target,1,lobulation,error_increase,502,-0.21364686414005746,0.2535010947371275,-0.13780856132507324,1.4582056667778152,0.9860557768924303
Standard CBM,fold_target,1,malignancy,output_sensitivity,423,0.013532048192570959,0.014084576162616436,0.009829342365264893,-0.26849028501950256,0.0
Standard CBM,fold_target,1,malignancy,error_increase,423,0.0010128332180146444,0.01931966807442255,3.504753112792969e-05,-0.1713040251458039,0.24349881796690306
Standard CBM,fold_target,1,margin,output_sensitivity,502,0.24692720648613703,0.2074560100637234,0.20744401216506958,-1.3069478536278856,0.00597609561752988
Standard CBM,fold_target,1,margin,error_increase,502,-0.11784135936765595,0.2830393309345994,-0.07055485248565674,-0.36801171353659473,0.31274900398406374
Standard CBM,fold_target,1,sphericity,output_sensitivity,501,0.12117889887484129,0.11515374767183184,0.08814585208892822,-0.4462395309448287,0.04590818363273453
Standard CBM,fold_target,1,sphericity,error_increase,501,-0.0664363660461115,0.1405034526738416,-0.0344277024269104,0.027436493975448055,0.4431137724550898
Standard CBM,fold_target,1,spiculation,output_sensitivity,500,0.2105398484552279,0.20976790403887127,0.12805533409118652,-2.324074873713404,0.0
Standard CBM,fold_target,1,spiculation,error_increase,500,-0.19716216192487626,0.22238858616736676,-0.12405312061309814,1.6075687423114975,0.964
Standard CBM,fold_target,1,subtlety,output_sensitivity,478,0.0956305208534127,0.102315657529058,0.06448674201965332,-1.6894361196154004,0.0020920502092050207
Standard CBM,fold_target,1,subtlety,error_increase,478,0.015199864966433751,0.12574872638882054,0.0007953047752380371,-1.382684669272995,0.1506276150627615
Standard CBM,fold_target,1,texture,output_sensitivity,502,0.22087719267701722,0.19808461772551822,0.16732537746429443,-0.7530421097373285,0.09362549800796813
Standard CBM,fold_target,1,texture,error_increase,502,-0.10163686713414045,0.26823418548974354,-0.10051262378692627,-0.26889908401490964,0.42231075697211157
Standard CBM,fold_target,2,calcification,output_sensitivity,493,0.23967713060171078,0.29436453531448314,0.1313924789428711,-1.0231755621083323,0.1359026369168357
Standard CBM,fold_target,2,calcification,error_increase,493,0.178466408689172,0.3339026509933928,0.0939035415649414,0.931909907031225,0.7870182555780934
