Model,Fold,Best epoch,Epochs complete,Test transactions,Scientific status,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Black-box,0,14,NA,1,PASS,RES-P5-BLACKBOX-FOLD0-TRAIN-TEST,ART-P5-FOLD0-AUDIT,$,8a26f60f61cd084b0333779541f3aefe59b565d8c075b7f1a2dba5a92f856c11
Black-box,1,19,NA,1,PASS,RES-P5-BLACKBOX-FOLD1-TRAIN-TEST,ART-P5-FOLD1-AUDIT,$,ed15f31b24178b9ef398efe4c1951e6c8e4318cf8c1e2afbfcbcb896bfee2419
Black-box,2,10,NA,1,PASS,RES-P5-BLACKBOX-FOLD2-TRAIN-TEST,ART-P5-FOLD2-AUDIT,$,e9e78ae1cdc7f9232e84b0a77c810c5323b77b5f59e58f08f8236e0d1e253be9
Black-box,3,15,NA,1,PASS,RES-P5-BLACKBOX-FOLD3-TRAIN-TEST,ART-P5-FOLD3-AUDIT,$,d01689173d76116d03f4a989c8e712e8298e114a49b4850aafde66515d707821
Black-box,4,38,NA,1,PASS,RES-P5-BLACKBOX-FOLD4-TRAIN-TEST,ART-P5-FOLD4-AUDIT,$,46b98dc707f5e3cb78574645e34055c040e0e53b650670eb8f32e7eb1e3ba18a
Standard CBM,0,concept=10;task=78,NA,1,PASS,RES-P6-STANDARD_CBM-FOLD0-TRAIN-TEST,ART-P6-FOLD0-AUDIT,$,19448b57bc663a7c37f06c6368ba33ad4375958f946791318d83c03b0e72045c
Standard CBM,1,concept=16;task=79,NA,1,PASS,RES-P6-STANDARD_CBM-FOLD1-TRAIN-TEST,ART-P6-FOLD1-AUDIT,$,c0eea000eb244f6ce2f1a19d52e2b096e97dc174a0e866ac8b9b82eb98db9757
Standard CBM,2,concept=38;task=77,NA,1,PASS,RES-P6-STANDARD_CBM-FOLD2-TRAIN-TEST,ART-P6-FOLD2-AUDIT,$,86548c45fb38f106caee903327a41733835e9495d065b8b32d33c032ae714d96
Standard CBM,3,concept=6;task=79,NA,1,PASS,RES-P6-STANDARD_CBM-FOLD3-TRAIN-TEST,ART-P6-FOLD3-AUDIT,$,194c99f34d3331d67f601cf3f6119820759d7f62f08a716140cda4c3627d0552
Standard CBM,4,concept=18;task=78,NA,1,PASS,RES-P6-STANDARD_CBM-FOLD4-TRAIN-TEST,ART-P6-FOLD4-AUDIT,$,2aefa973f5ae7b6093cace42ffad598e25f120150ce428becf7c19b81ea32f80
Mixed-type CEM,0,28,NA,1,PASS,RES-P7-MIXED_CEM-FOLD0-TRAIN-TEST,ART-P7-FOLD0-AUDIT,$,6236dbf9c51b7f59881d6018a916bd814442ace555ce7921a08a7a42e468c3e2
Mixed-type CEM,1,21,NA,1,PASS,RES-P7-MIXED_CEM-FOLD1-TRAIN-TEST,ART-P7-FOLD1-AUDIT,$,09322f5dcea42e977a3bd87a55f652ea4dd9109d2e2fe0490a43bd8a019eefa9
Mixed-type CEM,2,18,NA,1,PASS,RES-P7-MIXED_CEM-FOLD2-TRAIN-TEST,ART-P7-FOLD2-AUDIT,$,94116792ee15ab970323d41ff0079a7568dcff6ea0cb270abf91df8afcaf621c
Mixed-type CEM,3,15,NA,1,PASS,RES-P7-MIXED_CEM-FOLD3-TRAIN-TEST,ART-P7-FOLD3-AUDIT,$,9aa1b7800506d56abbbdc0bd4c1324df65be54326dee8563794a22ba3ac426e6
Mixed-type CEM,4,44,NA,1,PASS,RES-P7-MIXED_CEM-FOLD4-TRAIN-TEST,ART-P7-FOLD4-AUDIT,$,9646ce3b7f02ee89cbfa3a2ee68f70742dde679f56cace9eb870be827b0cfd32
Learned-softmax GAM,0,10,NA,1,PASS,RES-P8-LEARNED_SOFTMAX_GAM-FOLD0-TRAIN-TEST,ART-P8-FOLD0-AUDIT,$,d0e4fcccbd577fe4892df2cd87899e9f7c017846d047052e4258c9b8ef865412
Learned-softmax GAM,1,28,NA,1,PASS,RES-P8-LEARNED_SOFTMAX_GAM-FOLD1-TRAIN-TEST,ART-P8-FOLD1-AUDIT,$,c9e3e408134d8c434f57da89797dfda17947886b4646097d21b15cf43110cfc2
Learned-softmax GAM,2,32,NA,1,PASS,RES-P8-LEARNED_SOFTMAX_GAM-FOLD2-TRAIN-TEST,ART-P8-FOLD2-AUDIT,$,0d99ecd4347e2f2d3de1bca6f47302d29c5eedd83b8daeb50b6fc3526a9aa88d
Learned-softmax GAM,3,15,NA,1,PASS,RES-P8-LEARNED_SOFTMAX_GAM-FOLD3-TRAIN-TEST,ART-P8-FOLD3-AUDIT,$,c47a86e691616971fff1710d1222e1a150e06857023ad042ce39d96ddac7f2ae
Learned-softmax GAM,4,22,NA,1,PASS,RES-P8-LEARNED_SOFTMAX_GAM-FOLD4-TRAIN-TEST,ART-P8-FOLD4-AUDIT,$,38e25cb6ec17f14deeea5378b978816050fdf4ee40fccec4e40d2647421e61f4
Black-box,,NA,NA,1,PASS,RES-P9-OOF-BLACKBOX,ART-P9-OOF-BLACKBOX,$,6f7e8b840638cfcce3427a1a1e63155860f1067ac6d09f10e7c43aa74a2763e8
