Model,Concept,MAE,RMSE,Pearson,Spearman,N,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Learned-softmax GAM,lobulation,0.127,0.190,0.451,0.472,2633,RES-P9-CONCEPT-LEARNED_SOFTMAX_GAM-LOBULATION,ART-P9-CONCEPT,learned_softmax_gam.pooled.lobulation,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Learned-softmax GAM,margin,0.145,0.198,0.683,0.648,2633,RES-P9-CONCEPT-LEARNED_SOFTMAX_GAM-MARGIN,ART-P9-CONCEPT,learned_softmax_gam.pooled.margin,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Learned-softmax GAM,sphericity,0.140,0.178,0.424,0.435,2633,RES-P9-CONCEPT-LEARNED_SOFTMAX_GAM-SPHERICITY,ART-P9-CONCEPT,learned_softmax_gam.pooled.sphericity,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Learned-softmax GAM,spiculation,0.114,0.184,0.499,0.456,2633,RES-P9-CONCEPT-LEARNED_SOFTMAX_GAM-SPICULATION,ART-P9-CONCEPT,learned_softmax_gam.pooled.spiculation,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Learned-softmax GAM,subtlety,0.168,0.221,0.578,0.582,2633,RES-P9-CONCEPT-LEARNED_SOFTMAX_GAM-SUBTLETY,ART-P9-CONCEPT,learned_softmax_gam.pooled.subtlety,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Learned-softmax GAM,texture,0.111,0.179,0.786,0.583,2633,RES-P9-CONCEPT-LEARNED_SOFTMAX_GAM-TEXTURE,ART-P9-CONCEPT,learned_softmax_gam.pooled.texture,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Mixed-type CEM,lobulation,0.183,0.218,0.270,0.249,2633,RES-P9-CONCEPT-MIXED_CEM-LOBULATION,ART-P9-CONCEPT,mixed_cem.pooled.lobulation,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Mixed-type CEM,margin,0.246,0.292,0.188,0.171,2633,RES-P9-CONCEPT-MIXED_CEM-MARGIN,ART-P9-CONCEPT,mixed_cem.pooled.margin,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Mixed-type CEM,sphericity,0.178,0.217,0.056,0.051,2633,RES-P9-CONCEPT-MIXED_CEM-SPHERICITY,ART-P9-CONCEPT,mixed_cem.pooled.sphericity,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Mixed-type CEM,spiculation,0.180,0.216,0.305,0.274,2633,RES-P9-CONCEPT-MIXED_CEM-SPICULATION,ART-P9-CONCEPT,mixed_cem.pooled.spiculation,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Mixed-type CEM,subtlety,0.204,0.250,0.445,0.449,2633,RES-P9-CONCEPT-MIXED_CEM-SUBTLETY,ART-P9-CONCEPT,mixed_cem.pooled.subtlety,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Mixed-type CEM,texture,0.265,0.305,0.202,0.167,2633,RES-P9-CONCEPT-MIXED_CEM-TEXTURE,ART-P9-CONCEPT,mixed_cem.pooled.texture,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Standard CBM,lobulation,0.131,0.186,0.460,0.456,2633,RES-P9-CONCEPT-STANDARD_CBM-LOBULATION,ART-P9-CONCEPT,standard_cbm.pooled.lobulation,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Standard CBM,margin,0.146,0.197,0.687,0.647,2633,RES-P9-CONCEPT-STANDARD_CBM-MARGIN,ART-P9-CONCEPT,standard_cbm.pooled.margin,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Standard CBM,sphericity,0.139,0.177,0.437,0.453,2633,RES-P9-CONCEPT-STANDARD_CBM-SPHERICITY,ART-P9-CONCEPT,standard_cbm.pooled.sphericity,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Standard CBM,spiculation,0.121,0.182,0.507,0.416,2633,RES-P9-CONCEPT-STANDARD_CBM-SPICULATION,ART-P9-CONCEPT,standard_cbm.pooled.spiculation,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Standard CBM,subtlety,0.169,0.223,0.567,0.573,2633,RES-P9-CONCEPT-STANDARD_CBM-SUBTLETY,ART-P9-CONCEPT,standard_cbm.pooled.subtlety,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
Standard CBM,texture,0.116,0.180,0.783,0.581,2633,RES-P9-CONCEPT-STANDARD_CBM-TEXTURE,ART-P9-CONCEPT,standard_cbm.pooled.texture,f0c2ee330998b4ee8b635517093ad3f08928bc7761c6e794abd9b3a25999139a
