Model,Fold,Target,Requested,Valid,Undefined,Undefined rate,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Black-box,0,malignancy,479,479,0,0.000,RES-P9-GRADCAM-BLACKBOX-FOLD0-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[0].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Black-box,1,malignancy,502,502,0,0.000,RES-P9-GRADCAM-BLACKBOX-FOLD1-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[1].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Black-box,2,malignancy,539,539,0,0.000,RES-P9-GRADCAM-BLACKBOX-FOLD2-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[2].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Black-box,3,malignancy,549,448,101,0.184,RES-P9-GRADCAM-BLACKBOX-FOLD3-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[3].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Black-box,4,malignancy,564,461,103,0.183,RES-P9-GRADCAM-BLACKBOX-FOLD4-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.folds[4].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,0,calcification,479,422,57,0.119,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-CALCIFICATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,0,internalStructure,479,453,26,0.054,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,0,lobulation,479,475,4,0.008,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-LOBULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,0,malignancy,479,472,7,0.015,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-MALIGNANCY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,0,margin,479,412,67,0.140,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-MARGIN,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,0,sphericity,479,479,0,0.000,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-SPHERICITY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,0,spiculation,479,459,20,0.042,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-SPICULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.spiculation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,0,subtlety,479,477,2,0.004,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-SUBTLETY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.subtlety,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,0,texture,479,418,61,0.127,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD0-TEXTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[0].targets.texture,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,1,calcification,502,482,20,0.040,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-CALCIFICATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,1,internalStructure,502,459,43,0.086,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,1,lobulation,502,439,63,0.125,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-LOBULATION,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,1,malignancy,502,463,39,0.078,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-MALIGNANCY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,1,margin,502,497,5,0.010,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-MARGIN,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,1,sphericity,502,473,29,0.058,RES-P9-GRADCAM-LEARNED_SOFTMAX_GAM-FOLD1-SPHERICITY,ART-P9-SPATIAL,models.learned_softmax_gam.folds[1].targets.sphericity,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
