Model,Target,Quantity,Saliency mean,Saliency median,Saliency−random mean,Saliency > random rate,Valid maps,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Black-box,malignancy,output_sensitivity,0.025,0.017,-0.323,0.009,2429,RES-P9-FAITHFULNESS-BLACKBOX-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Black-box,malignancy,error_increase,0.003,0.000,-0.235,0.144,2429,RES-P9-FAITHFULNESS-BLACKBOX-MALIGNANCY,ART-P9-SPATIAL,models.blackbox.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Black-box,,output_sensitivity,0.025,0.017,-0.323,0.009,2429,RES-P9-FAITHFULNESS-BLACKBOX-POOLED,ART-P9-SPATIAL,models.blackbox.pooled_all_targets,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Black-box,,error_increase,0.003,0.000,-0.235,0.144,2429,RES-P9-FAITHFULNESS-BLACKBOX-POOLED,ART-P9-SPATIAL,models.blackbox.pooled_all_targets,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,calcification,output_sensitivity,0.206,0.136,-0.968,0.106,2062,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-CALCIFICATION,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,calcification,error_increase,0.064,0.022,0.522,0.702,2062,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-CALCIFICATION,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.calcification,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,internalStructure,output_sensitivity,0.210,0.153,-1.065,0.081,2393,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,internalStructure,error_increase,-0.169,-0.124,0.720,0.751,2393,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-INTERNALSTRUCTURE,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.internalStructure,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,lobulation,output_sensitivity,0.268,0.195,-1.687,0.007,2353,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-LOBULATION,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,lobulation,error_increase,-0.260,-0.194,1.414,0.958,2353,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-LOBULATION,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.lobulation,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,malignancy,output_sensitivity,0.025,0.020,-0.302,0.004,2361,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-MALIGNANCY,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,malignancy,error_increase,0.002,0.000,-0.214,0.157,2361,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-MALIGNANCY,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.malignancy,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,margin,output_sensitivity,0.219,0.172,-1.081,0.035,2559,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-MARGIN,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,margin,error_increase,-0.109,-0.090,-0.253,0.362,2559,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-MARGIN,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_targets.margin,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,,output_sensitivity,0.192,0.114,-1.123,0.045,21611,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-POOLED,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_all_targets,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
Learned-softmax GAM,,error_increase,-0.103,-0.041,0.194,0.526,21611,RES-P9-FAITHFULNESS-LEARNED_SOFTMAX_GAM-POOLED,ART-P9-SPATIAL,models.learned_softmax_gam.pooled_all_targets,64656d54e573e2ce8c626c6403e6dc295498d233dd90c4152efcd12b9240cfbf
