Model,Concept,Pooled signed mean (rating points),Fold train-centering constants (rating points),Mean |contribution|,Interpretation,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
Learned-softmax GAM,calcification,0.402,0.450; 0.247; 0.397; 0.498; 0.419,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-LEARNED_SOFTMAX_GAM-CALCIFICATION,ART-P9-CONTRIBUTION-CENTERING,learned_softmax_gam,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
Learned-softmax GAM,internalStructure,0.041,-0.275; 0.289; 0.032; -0.160; 0.321,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-LEARNED_SOFTMAX_GAM-INTERNALSTRUCTURE,ART-P9-CONTRIBUTION-CENTERING,learned_softmax_gam,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
Learned-softmax GAM,lobulation,-0.016,0.336; 0.133; -0.834; -0.039; 0.325,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-LEARNED_SOFTMAX_GAM-LOBULATION,ART-P9-CONTRIBUTION-CENTERING,learned_softmax_gam,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
Learned-softmax GAM,margin,0.370,0.526; 0.290; 0.647; 0.226; 0.162,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-LEARNED_SOFTMAX_GAM-MARGIN,ART-P9-CONTRIBUTION-CENTERING,learned_softmax_gam,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
Learned-softmax GAM,sphericity,0.106,-0.127; 0.055; 0.449; 0.109; 0.045,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-LEARNED_SOFTMAX_GAM-SPHERICITY,ART-P9-CONTRIBUTION-CENTERING,learned_softmax_gam,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
Learned-softmax GAM,spiculation,0.323,0.058; 0.178; 0.502; 0.611; 0.265,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-LEARNED_SOFTMAX_GAM-SPICULATION,ART-P9-CONTRIBUTION-CENTERING,learned_softmax_gam,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
Learned-softmax GAM,subtlety,0.229,0.254; 0.172; 0.257; 0.160; 0.299,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-LEARNED_SOFTMAX_GAM-SUBTLETY,ART-P9-CONTRIBUTION-CENTERING,learned_softmax_gam,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
Learned-softmax GAM,texture,0.190,0.355; 0.351; 0.181; 0.275; -0.209,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-LEARNED_SOFTMAX_GAM-TEXTURE,ART-P9-CONTRIBUTION-CENTERING,learned_softmax_gam,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
Mixed-type CEM,calcification,0.263,0.215; 0.511; 0.245; 0.201; 0.146,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-MIXED_CEM-CALCIFICATION,ART-P9-CONTRIBUTION-CENTERING,mixed_cem,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
Mixed-type CEM,internalStructure,0.486,0.371; 0.153; 0.585; 0.473; 0.848,DATA_NOT_PERSISTED,Signed centering evidence; constants are not importance,RES-P9-CONTRIBUTION-MIXED_CEM-INTERNALSTRUCTURE,ART-P9-CONTRIBUTION-CENTERING,mixed_cem,142356fe50bfbbfdc9592e85e456123de3a6449d11a57aa15ab47f8841993690
