Fold,Concept,Expert 1,Expert 2,Expert 3,Expert 4,Expert 5,Min–max,Simplex,catalogue_item_id,source_artifact_id,source_field_path,source_sha256
0,calcification,0.200,0.200,0.204,0.196,0.199,0.196–0.204,1.000,RES-P9-GAM-ALPHA-FOLD0-CALCIFICATION,ART-P9-LEARNED-ALPHA,folds[0].groups.calcification,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
0,internalStructure,0.200,0.200,0.200,0.200,0.200,0.200–0.200,1.000,RES-P9-GAM-ALPHA-FOLD0-INTERNALSTRUCTURE,ART-P9-LEARNED-ALPHA,folds[0].groups.internalStructure,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
0,lobulation,0.201,0.203,0.198,0.200,0.197,0.197–0.203,1.000,RES-P9-GAM-ALPHA-FOLD0-LOBULATION,ART-P9-LEARNED-ALPHA,folds[0].groups.lobulation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
0,margin,0.198,0.198,0.203,0.202,0.200,0.198–0.203,1.000,RES-P9-GAM-ALPHA-FOLD0-MARGIN,ART-P9-LEARNED-ALPHA,folds[0].groups.margin,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
0,sphericity,0.199,0.200,0.200,0.202,0.200,0.199–0.202,1.000,RES-P9-GAM-ALPHA-FOLD0-SPHERICITY,ART-P9-LEARNED-ALPHA,folds[0].groups.sphericity,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
0,spiculation,0.194,0.200,0.200,0.200,0.207,0.194–0.207,1.000,RES-P9-GAM-ALPHA-FOLD0-SPICULATION,ART-P9-LEARNED-ALPHA,folds[0].groups.spiculation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
0,subtlety,0.206,0.195,0.198,0.202,0.198,0.195–0.206,1.000,RES-P9-GAM-ALPHA-FOLD0-SUBTLETY,ART-P9-LEARNED-ALPHA,folds[0].groups.subtlety,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
0,texture,0.201,0.200,0.199,0.200,0.200,0.199–0.201,1.000,RES-P9-GAM-ALPHA-FOLD0-TEXTURE,ART-P9-LEARNED-ALPHA,folds[0].groups.texture,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
1,calcification,0.195,0.191,0.201,0.201,0.211,0.191–0.211,1.000,RES-P9-GAM-ALPHA-FOLD1-CALCIFICATION,ART-P9-LEARNED-ALPHA,folds[1].groups.calcification,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
1,internalStructure,0.201,0.199,0.199,0.199,0.201,0.199–0.201,1.000,RES-P9-GAM-ALPHA-FOLD1-INTERNALSTRUCTURE,ART-P9-LEARNED-ALPHA,folds[1].groups.internalStructure,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
1,lobulation,0.197,0.199,0.203,0.206,0.195,0.195–0.206,1.000,RES-P9-GAM-ALPHA-FOLD1-LOBULATION,ART-P9-LEARNED-ALPHA,folds[1].groups.lobulation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
1,margin,0.202,0.200,0.199,0.199,0.201,0.199–0.202,1.000,RES-P9-GAM-ALPHA-FOLD1-MARGIN,ART-P9-LEARNED-ALPHA,folds[1].groups.margin,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
1,sphericity,0.199,0.199,0.201,0.199,0.202,0.199–0.202,1.000,RES-P9-GAM-ALPHA-FOLD1-SPHERICITY,ART-P9-LEARNED-ALPHA,folds[1].groups.sphericity,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
1,spiculation,0.200,0.203,0.205,0.195,0.197,0.195–0.205,1.000,RES-P9-GAM-ALPHA-FOLD1-SPICULATION,ART-P9-LEARNED-ALPHA,folds[1].groups.spiculation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
1,subtlety,0.203,0.200,0.196,0.201,0.200,0.196–0.203,1.000,RES-P9-GAM-ALPHA-FOLD1-SUBTLETY,ART-P9-LEARNED-ALPHA,folds[1].groups.subtlety,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
1,texture,0.202,0.200,0.199,0.198,0.201,0.198–0.202,1.000,RES-P9-GAM-ALPHA-FOLD1-TEXTURE,ART-P9-LEARNED-ALPHA,folds[1].groups.texture,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
2,calcification,0.200,0.196,0.206,0.199,0.199,0.196–0.206,1.000,RES-P9-GAM-ALPHA-FOLD2-CALCIFICATION,ART-P9-LEARNED-ALPHA,folds[2].groups.calcification,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
2,internalStructure,0.199,0.199,0.201,0.201,0.201,0.199–0.201,1.000,RES-P9-GAM-ALPHA-FOLD2-INTERNALSTRUCTURE,ART-P9-LEARNED-ALPHA,folds[2].groups.internalStructure,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
2,lobulation,0.196,0.202,0.206,0.192,0.204,0.192–0.206,1.000,RES-P9-GAM-ALPHA-FOLD2-LOBULATION,ART-P9-LEARNED-ALPHA,folds[2].groups.lobulation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
2,margin,0.201,0.199,0.198,0.200,0.202,0.198–0.202,1.000,RES-P9-GAM-ALPHA-FOLD2-MARGIN,ART-P9-LEARNED-ALPHA,folds[2].groups.margin,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
2,sphericity,0.200,0.202,0.199,0.199,0.201,0.199–0.202,1.000,RES-P9-GAM-ALPHA-FOLD2-SPHERICITY,ART-P9-LEARNED-ALPHA,folds[2].groups.sphericity,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
2,spiculation,0.207,0.201,0.202,0.196,0.193,0.193–0.207,1.000,RES-P9-GAM-ALPHA-FOLD2-SPICULATION,ART-P9-LEARNED-ALPHA,folds[2].groups.spiculation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
2,subtlety,0.198,0.201,0.202,0.198,0.201,0.198–0.202,1.000,RES-P9-GAM-ALPHA-FOLD2-SUBTLETY,ART-P9-LEARNED-ALPHA,folds[2].groups.subtlety,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
2,texture,0.201,0.199,0.199,0.199,0.201,0.199–0.201,1.000,RES-P9-GAM-ALPHA-FOLD2-TEXTURE,ART-P9-LEARNED-ALPHA,folds[2].groups.texture,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
3,calcification,0.198,0.203,0.200,0.196,0.202,0.196–0.203,1.000,RES-P9-GAM-ALPHA-FOLD3-CALCIFICATION,ART-P9-LEARNED-ALPHA,folds[3].groups.calcification,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
3,internalStructure,0.201,0.200,0.199,0.199,0.201,0.199–0.201,1.000,RES-P9-GAM-ALPHA-FOLD3-INTERNALSTRUCTURE,ART-P9-LEARNED-ALPHA,folds[3].groups.internalStructure,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
3,lobulation,0.195,0.214,0.195,0.197,0.200,0.195–0.214,1.000,RES-P9-GAM-ALPHA-FOLD3-LOBULATION,ART-P9-LEARNED-ALPHA,folds[3].groups.lobulation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
3,margin,0.200,0.203,0.199,0.200,0.198,0.198–0.203,1.000,RES-P9-GAM-ALPHA-FOLD3-MARGIN,ART-P9-LEARNED-ALPHA,folds[3].groups.margin,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
3,sphericity,0.201,0.199,0.200,0.201,0.198,0.198–0.201,1.000,RES-P9-GAM-ALPHA-FOLD3-SPHERICITY,ART-P9-LEARNED-ALPHA,folds[3].groups.sphericity,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
3,spiculation,0.203,0.203,0.192,0.200,0.201,0.192–0.203,1.000,RES-P9-GAM-ALPHA-FOLD3-SPICULATION,ART-P9-LEARNED-ALPHA,folds[3].groups.spiculation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
3,subtlety,0.198,0.202,0.200,0.199,0.201,0.198–0.202,1.000,RES-P9-GAM-ALPHA-FOLD3-SUBTLETY,ART-P9-LEARNED-ALPHA,folds[3].groups.subtlety,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
3,texture,0.200,0.199,0.200,0.201,0.199,0.199–0.201,1.000,RES-P9-GAM-ALPHA-FOLD3-TEXTURE,ART-P9-LEARNED-ALPHA,folds[3].groups.texture,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
4,calcification,0.203,0.206,0.195,0.193,0.202,0.193–0.206,1.000,RES-P9-GAM-ALPHA-FOLD4-CALCIFICATION,ART-P9-LEARNED-ALPHA,folds[4].groups.calcification,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
4,internalStructure,0.200,0.201,0.199,0.201,0.199,0.199–0.201,1.000,RES-P9-GAM-ALPHA-FOLD4-INTERNALSTRUCTURE,ART-P9-LEARNED-ALPHA,folds[4].groups.internalStructure,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
4,lobulation,0.190,0.203,0.204,0.206,0.198,0.190–0.206,1.000,RES-P9-GAM-ALPHA-FOLD4-LOBULATION,ART-P9-LEARNED-ALPHA,folds[4].groups.lobulation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
4,margin,0.201,0.200,0.199,0.200,0.201,0.199–0.201,1.000,RES-P9-GAM-ALPHA-FOLD4-MARGIN,ART-P9-LEARNED-ALPHA,folds[4].groups.margin,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
4,sphericity,0.199,0.199,0.202,0.199,0.201,0.199–0.202,1.000,RES-P9-GAM-ALPHA-FOLD4-SPHERICITY,ART-P9-LEARNED-ALPHA,folds[4].groups.sphericity,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
4,spiculation,0.198,0.201,0.198,0.203,0.199,0.198–0.203,1.000,RES-P9-GAM-ALPHA-FOLD4-SPICULATION,ART-P9-LEARNED-ALPHA,folds[4].groups.spiculation,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
4,subtlety,0.196,0.200,0.200,0.203,0.201,0.196–0.203,1.000,RES-P9-GAM-ALPHA-FOLD4-SUBTLETY,ART-P9-LEARNED-ALPHA,folds[4].groups.subtlety,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
4,texture,0.199,0.199,0.200,0.202,0.200,0.199–0.202,1.000,RES-P9-GAM-ALPHA-FOLD4-TEXTURE,ART-P9-LEARNED-ALPHA,folds[4].groups.texture,7bd0f18673a07bafddcca03b919dd00f13ae5e1d674f8570e0af5f4207c1af9d
